   1.0000000000000001e-01	   1.0000000000000000e+00	   1.0000000000000000e+00
   1.0000000000000000e-02	   1.0000000000000000e+00	   1.0000000000000000e+00
   1.0000000000000000e-03	   1.0000000000000000e+00	   1.0000000000000000e+00
   1.0000000000000000e-04	   1.0000000000000000e+00	   1.0000000000000000e+00
   1.0000000000000001e-05	   1.0000000000000000e+00	   1.0000000000000000e+00
   9.9999999999999995e-07	   1.0000000000000000e+00	   1.0000000000000000e+00
   9.9999999999999995e-08	   1.0000000000000000e+00	   1.0000000000000000e+00
   1.0000000000000000e-08	   1.0000000000000000e+00	   1.0000000000000000e+00
   1.0000000000000001e-09	   1.0000000000000000e+00	   1.0000000000000000e+00
   1.0000000000000000e-10	   1.0000000000000000e+00	   1.0000000000000000e+00
